,feature,N_G1,N_G2,N,p-value
0,lh_203_42,5,29,34,0.01956407036046442
1,lh_203_58,5,29,34,0.030473775285672237
2,lh_203_62,5,29,34,0.03589075815027715
3,lh_203_68,5,29,34,0.020901635479517594
4,lh_203_121,5,29,34,0.02693188408850518
5,lh_203_129,5,29,34,0.04891045942156649
6,lh_203_132,5,29,34,0.018486034408578565
7,lh_203_136,5,29,34,0.021716864017926368
8,lh_205_43,5,29,34,0.04605333200668465
9,lh_205_82,5,29,34,0.030473775285672237
10,lh_206_42,5,29,34,0.01956407036046442
11,lh_206_104,5,29,34,0.03440858202726509
12,lh_206_127,5,29,34,0.04891045942156649
13,lh_208_62,5,29,34,0.048324162056047594
14,lh_208_69,5,29,34,0.016083752860199557
15,lh_208_85,5,29,34,0.016083752860199557
16,lh_208_90,5,29,34,0.016083752860199557
17,lh_208_94,5,29,34,0.012270699984419186
18,lh_208_99,5,29,34,0.009281292930101614
19,lh_208_102,5,29,34,0.04891045942156649
20,lh_208_103,5,29,34,0.030473775285672237
21,lh_208_105,5,29,34,0.0038124853974168195
22,lh_208_106,5,29,34,0.03876957007696206
23,lh_208_110,5,29,34,0.009281292930101614
24,lh_208_113,5,29,34,0.00804580088429068
25,lh_208_114,5,29,34,0.02693188408850537
26,lh_208_121,5,29,34,0.004446058801641938
27,lh_208_122,5,29,34,0.02693188408850537
28,lh_208_124,5,29,34,0.01216474335026896
29,lh_208_126,5,29,34,0.005136065741311981
30,lh_208_129,5,29,34,0.04891045942156649
31,lh_208_130,5,29,34,0.005136065741311981
32,lh_208_135,5,29,34,0.0038124853974168646
33,lh_208_141,5,29,34,0.02693188408850518
34,lh_208_143,5,29,34,0.030473775285672237
35,lh_209_48,5,29,34,0.030473775285672237
36,lh_209_133,5,29,34,0.04891045942156649
37,lh_211_109,5,29,34,0.04891045942156649
38,lh_212_74,5,29,34,0.014063555742440644
39,lh_212_83,5,29,34,0.03440858202726509
40,lh_212_88,5,29,34,0.04891045942156649
41,lh_212_141,5,29,34,0.023751201552971352
42,lh_214_123,5,28,33,0.020886509075665964
43,lh_215_37,5,29,34,0.012270699984419186
44,lh_215_40,5,29,34,0.016083752860199557
45,lh_215_42,5,29,34,0.03438105466889911
46,lh_215_43,5,29,34,0.020823495880941754
47,lh_215_44,5,29,34,0.03871002915289588
48,lh_215_46,5,29,34,0.03440858202726509
49,lh_226_56,5,29,34,0.04359148657540737
50,lh_226_65,5,29,34,0.014063555742440644
51,lh_7001_69,5,29,34,0.04891045942156649
52,lh_7001_85,5,29,34,0.04891045942156649
53,lh_7001_90,5,29,34,0.04891045942156649
54,lh_7001_99,5,29,34,0.04359148657540737
55,lh_7001_101,5,29,34,0.030473775285672237
56,lh_7001_103,5,29,34,0.04359148657540737
57,lh_7001_112,5,29,34,0.02693188408850518
58,lh_7001_122,5,29,34,0.04891045942156649
59,lh_7003_62,5,29,34,0.028267099665570894
60,lh_7003_102,5,29,34,0.010683358916575455
61,lh_7003_113,5,29,34,0.016083752860199873
62,lh_7003_121,5,29,34,0.04891045942156649
63,lh_7003_124,5,29,34,0.01482852391400605
64,lh_7003_141,5,29,34,0.00600708047070595
65,lh_7005_56,5,29,34,0.03440858202726509
66,lh_7005_62,5,29,34,0.034119855252656026
67,lh_7005_69,5,29,34,0.048893196095712674
68,lh_7005_99,5,29,34,0.04887593392925937
69,lh_7005_105,5,29,34,0.04891045942156649
70,lh_7005_134,5,29,34,0.04359148657540737
71,lh_7005_136,5,29,34,0.03742083999779357
72,lh_7006_39,5,27,32,0.035557905699921205
73,lh_7006_42,5,27,32,0.023864485820091298
74,lh_7007_71,5,28,33,0.01774130316423614
75,lh_7008_42,5,29,34,0.0037696961010736624
76,lh_7008_102,5,29,34,0.020901635479517594
77,lh_7008_113,5,29,34,0.02375120155297121
78,lh_7008_129,5,29,34,0.030473775285672237
79,lh_7010_43,5,27,32,0.01685722603102321
80,lh_7015_44,5,29,34,0.02527596840875291
81,lh_7015_62,5,29,34,0.04275838887391863
82,rh_203_43,5,28,33,0.0415405557140923
83,rh_203_55,5,28,33,0.03900616323744676
84,rh_203_58,5,28,33,0.030849025378807383
85,rh_203_68,5,28,33,0.030849025378807383
86,rh_203_82,5,28,33,0.004927430103394075
87,rh_203_83,5,28,33,0.01205663913702479
88,rh_203_88,5,28,33,0.010446396155081972
89,rh_203_124,5,28,33,0.04261653013016353
90,rh_205_123,5,28,33,0.04449542784525184
91,rh_206_42,5,28,33,0.018262733732112017
92,rh_206_93,5,28,33,0.030849025378807727
93,rh_208_42,5,28,33,0.03712406858898713
94,rh_208_58,5,28,33,0.04460231269122652
95,rh_208_62,5,28,33,0.014593175943054423
96,rh_208_68,5,28,33,0.03496141080629032
97,rh_208_82,5,28,33,0.04460231269122652
98,rh_209_48,5,28,33,0.030849025378807727
99,rh_210_112,5,28,33,0.03496141080629032
100,rh_210_123,5,28,33,0.027159039385390816
101,rh_211_82,5,28,33,0.04460231269122652
