"Image type","Feature Class","Feature Name","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_203","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_204","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_205","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_206","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_208","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_209","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_211","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_212","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_215","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_226","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7001","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7003","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7005","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7006","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7007","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7008","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7009","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7010","lh.hippoAmygLabels-T1.v21.CA.FSvoxelSpace_label_7015"
"diagnostics","Versions","PyRadiomics","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de","v3.0.1.post4+gad5b2de"
"diagnostics","Versions","Numpy","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2","1.19.2"
"diagnostics","Versions","SimpleITK","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2","2.0.2"
"diagnostics","Versions","PyWavelet","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1","1.1.1"
"diagnostics","Versions","Python","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7","3.6.7"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 203, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 204, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 205, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 206, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 208, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 209, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 211, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 212, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 215, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 226, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7001, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7003, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7005, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7006, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7007, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7008, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7009, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7010, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': [1.0, 1.0, 1.0], 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 7015, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}","{'Original': {}}"
"diagnostics","Image-original","Hash","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3","182055f206f38b0e0d047eb777e23f5aee54e9d3"
"diagnostics","Image-original","Dimensionality","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D","3D"
"diagnostics","Image-original","Spacing","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)","(1.0, 1.0, 1.0)"
